Brand,Model,Year,Odometer Reading (km),Fuel Type,Transmission Type,Color,Number of Owners,Service History,Location,Previous Accidents,Engine Capacity (L),Car Type,Insurance Type,Price (INR)
Toyota,Corolla,2000,62229,CNG,Manual,Black,1,False,Delhi,False,1.5,Convertible,Comprehensive,50000.0
BMW,M3,2012,38092,Electric,Automatic,White,2,False,Delhi,True,2.2,Convertible,None,6844286.2
Nissan,Terrano,2011,168658,Electric,Manual,Silver,1,True,Delhi,False,2.1,Wagon,Third-Party,674701.3
Hyundai,Verna,2006,147280,CNG,Manual,Grey,2,False,Ahmedabad,False,1.2,Sedan,Comprehensive,50000.0
Audi,A4,2016,97215,Electric,Manual,Red,3,True,Mumbai,True,1.4,Coupe,None,4055417.75
Honda,Jazz,2010,173096,Diesel,Manual,Silver,1,True,Mumbai,False,2.9,Wagon,Comprehensive,74035.6
Tata,Altroz,2023,88011,CNG,Automatic,Grey,2,True,Pune,False,4.3,SUV,Comprehensive,506798.35
Nissan,Terrano,2011,88776,Petrol,Automatic,White,1,True,Pune,False,4.2,SUV,None,636683.6
Audi,Q5,2013,92748,CNG,Manual,Black,1,True,Mumbai,True,4.4,Wagon,Comprehensive,5436087.8
Tata,Altroz,2021,58163,Electric,Manual,Black,3,False,Delhi,False,2.8,Hatchback,Comprehensive,441275.55
Hyundai,Verna,2015,115664,CNG,Automatic,Blue,3,False,Bangalore,True,1.9,Coupe,Comprehensive,382650.4
Tata,Harrier,2020,70476,Petrol,Manual,Red,3,True,Mumbai,True,3.4,Convertible,Comprehensive,1459428.6
BMW,3 Series,2013,121161,Petrol,Automatic,Black,2,False,Chennai,True,1.8,Coupe,Comprehensive,3331825.85
Honda,Civic,2012,80020,CNG,Automatic,Blue,2,False,Bangalore,False,2.7,Convertible,Comprehensive,87997.0
Hyundai,Elantra,2005,77861,Petrol,Manual,Silver,2,False,Mumbai,True,1.2,SUV,None,288320.85
Mercedes,S-Class,2015,43296,Diesel,Automatic,Black,3,False,Hyderabad,False,3.0,Hatchback,Third-Party,9493505.6
BMW,3 Series,2011,61777,CNG,Automatic,Blue,2,False,Delhi,True,2.4,Coupe,None,3290733.45
Toyota,Fortuner,2019,73882,Electric,Automatic,Silver,2,False,Kolkata,True,4.2,Wagon,Comprehensive,3138917.7
Hyundai,Creta,2008,44008,Electric,Manual,Red,1,True,Hyderabad,False,2.7,Coupe,Comprehensive,693398.8
Tata,Harrier,2016,26283,Electric,Manual,Grey,2,True,Ahmedabad,False,3.0,Sedan,Comprehensive,1266057.55
Maruti Suzuki,Vitara Brezza,2007,123301,Diesel,Manual,Red,3,False,Pune,False,4.9,Sedan,Comprehensive,50000.0
Mercedes,S-Class,2003,148243,Electric,Manual,Red,1,False,Ahmedabad,True,1.3,Wagon,Comprehensive,8857763.55
Maruti Suzuki,Swift,2012,180228,Diesel,Automatic,Black,1,True,Pune,True,1.6,Wagon,Comprehensive,50000.0
Toyota,Fortuner,2004,15305,CNG,Automatic,Black,2,True,Delhi,True,2.8,Sedan,Third-Party,2467704.25
Honda,Jazz,2016,16781,CNG,Automatic,White,2,True,Kolkata,True,4.2,Hatchback,Comprehensive,267482.85
Nissan,Magnite,2002,181940,Petrol,Automatic,Black,2,False,Hyderabad,True,3.7,Convertible,Comprehensive,50000.0
Nissan,Terrano,2007,107762,Diesel,Automatic,Silver,3,False,Chennai,False,5.0,SUV,Comprehensive,383835.7
Hyundai,Verna,2019,67868,Electric,Manual,White,2,True,Hyderabad,True,2.8,Hatchback,Third-Party,559819.8
Ford,Endeavour,2024,13538,Diesel,Automatic,Grey,1,False,Pune,True,1.0,Wagon,Comprehensive,2927969.3
Toyota,Fortuner,2011,86659,Electric,Manual,Black,2,False,Delhi,False,2.3,Wagon,Comprehensive,2837001.15
Honda,Civic,2008,45587,Petrol,Manual,Red,1,False,Pune,False,4.0,Hatchback,Comprehensive,50000.0
Tata,Nexon,2014,9295,Electric,Manual,Black,3,True,Chennai,True,1.5,Convertible,Comprehensive,318605.75
Audi,Q5,2016,62688,CNG,Manual,Grey,3,False,Pune,False,4.9,Coupe,Third-Party,5540596.8
BMW,M3,2015,120365,Petrol,Manual,Grey,3,False,Ahmedabad,True,4.8,Hatchback,Third-Party,6931945.25
Hyundai,Creta,2019,122397,Diesel,Manual,White,1,False,Delhi,False,1.2,Hatchback,Comprehensive,1261640.45
Hyundai,Verna,2015,50685,Diesel,Automatic,Blue,1,True,Delhi,False,5.0,Convertible,Comprehensive,492397.25
Mercedes,S-Class,2020,185514,Diesel,Automatic,Red,3,True,Bangalore,True,1.7,SUV,Comprehensive,9742172.9
BMW,3 Series,2006,76997,Electric,Manual,Red,2,True,Kolkata,True,2.3,Hatchback,Third-Party,3008450.45
Ford,EcoSport,2024,89434,Electric,Automatic,Blue,2,True,Mumbai,False,1.0,SUV,Comprehensive,800000.0
BMW,X5,2021,158192,Electric,Automatic,Grey,1,False,Chennai,True,1.8,Sedan,None,7756271.2
Honda,Jazz,2016,51225,CNG,Automatic,Grey,2,False,Delhi,True,3.0,Coupe,Third-Party,292316.25
Nissan,Terrano,2021,103128,CNG,Automatic,Black,3,True,Chennai,True,4.2,SUV,Comprehensive,1054530.8
BMW,3 Series,2002,181043,Petrol,Manual,Red,3,False,Kolkata,False,3.5,Coupe,Comprehensive,2822843.55
BMW,3 Series,2024,192460,Diesel,Automatic,Blue,1,True,Kolkata,False,2.7,SUV,None,3971131.0
Tata,Nexon,2008,194444,Diesel,Manual,Black,1,True,Kolkata,False,1.8,Wagon,Third-Party,70833.4
Mercedes,E-Class,2015,95582,Petrol,Manual,White,3,True,Kolkata,False,4.8,Sedan,Comprehensive,6005662.7
Honda,Jazz,2023,108134,CNG,Automatic,Silver,2,True,Kolkata,True,3.0,Hatchback,Comprehensive,603779.9
Mercedes,C-Class,2012,74258,Petrol,Manual,Blue,1,True,Hyderabad,False,1.7,Wagon,None,4388861.3
Nissan,Magnite,2012,139564,CNG,Automatic,Silver,2,False,Bangalore,False,1.3,Sedan,Third-Party,50000.0
Honda,Jazz,2016,105787,Electric,Manual,Grey,3,False,Pune,False,4.2,Convertible,None,284131.95
Toyota,Corolla,2008,182762,Electric,Automatic,Grey,2,True,Mumbai,True,1.3,Coupe,Comprehensive,342585.7
Audi,A4,2014,20724,Petrol,Automatic,Grey,2,True,Delhi,False,1.7,Convertible,Third-Party,4016891.4
Audi,A6,2013,139777,CNG,Automatic,Grey,2,False,Kolkata,True,2.4,Coupe,Comprehensive,4829033.45
Mercedes,S-Class,2012,15596,Electric,Manual,Grey,3,False,Mumbai,False,3.4,Hatchback,Comprehensive,9397660.6
Tata,Altroz,2023,75575,Electric,Manual,Silver,2,True,Mumbai,False,1.6,Wagon,Comprehensive,558663.75
Audi,A6,2023,5755,Diesel,Automatic,White,3,False,Ahmedabad,True,2.7,Sedan,Third-Party,5349136.75
Mercedes,E-Class,2011,109063,CNG,Manual,Black,3,True,Chennai,False,1.5,SUV,Third-Party,5803640.55
Tata,Harrier,2018,147484,Diesel,Manual,Blue,1,False,Kolkata,True,5.0,Sedan,Third-Party,1307877.4
Ford,Endeavour,2008,117330,Electric,Automatic,Grey,1,False,Ahmedabad,True,2.3,Sedan,Third-Party,2112400.5
Hyundai,Elantra,2003,93089,Electric,Automatic,Grey,2,False,Hyderabad,False,3.4,Wagon,Comprehensive,186036.65
Mercedes,C-Class,2002,135837,Petrol,Manual,Silver,3,False,Kolkata,True,3.8,Hatchback,Comprehensive,3779624.45
Ford,EcoSport,2016,180623,Diesel,Automatic,Red,1,False,Delhi,False,2.0,SUV,Third-Party,402906.55
Ford,Fiesta,2016,117282,Electric,Automatic,Blue,1,True,Mumbai,False,4.8,Coupe,Comprehensive,232407.7
Toyota,Innova,2016,148331,Electric,Manual,Red,1,True,Mumbai,False,1.1,Sedan,Comprehensive,1227750.35
Nissan,Magnite,2008,89655,Diesel,Automatic,Blue,1,False,Bangalore,False,2.4,Coupe,None,50000.0
Hyundai,Elantra,2021,29521,CNG,Automatic,White,1,False,Hyderabad,False,2.1,Convertible,Third-Party,1125571.85
Ford,Endeavour,2008,17714,Diesel,Manual,Blue,1,True,Hyderabad,True,1.0,Coupe,None,2147342.9
Honda,Jazz,2006,153658,Electric,Manual,Blue,3,False,Hyderabad,False,1.3,Hatchback,None,50000.0
Honda,City,2023,36712,Electric,Manual,White,1,True,Hyderabad,False,2.5,Coupe,Third-Party,944493.2
BMW,M3,2013,130416,CNG,Automatic,Black,1,False,Hyderabad,False,2.5,Coupe,None,6910437.6
BMW,X5,2009,18043,CNG,Manual,Grey,3,False,Pune,True,2.9,Sedan,Third-Party,7147293.55
Tata,Harrier,2017,189218,Diesel,Manual,Red,3,True,Hyderabad,True,2.1,Hatchback,None,1241617.3
BMW,X5,2006,189308,Petrol,Manual,Black,2,False,Bangalore,False,1.3,Convertible,Third-Party,7071603.8
Toyota,Corolla,2018,178960,Petrol,Automatic,Red,2,True,Hyderabad,False,4.4,Hatchback,None,843156.0
Tata,Altroz,2021,157707,Electric,Automatic,Blue,3,False,Hyderabad,True,1.3,Sedan,Comprehensive,326343.95
Nissan,Kicks,2009,143432,Petrol,Automatic,Blue,2,True,Pune,False,2.2,Sedan,Comprehensive,398485.2
Toyota,Innova,2015,69254,Petrol,Automatic,Blue,3,False,Pune,True,3.2,Coupe,Third-Party,1039611.8999999999
Tata,Harrier,2016,151685,Petrol,Automatic,Grey,2,False,Delhi,True,4.1,Wagon,Comprehensive,1227247.25
Toyota,Fortuner,2000,49582,Petrol,Automatic,Black,1,True,Chennai,False,1.1,Wagon,None,2292562.7
Audi,Q5,2016,124596,Electric,Automatic,Blue,2,False,Mumbai,False,4.9,Coupe,None,5581310.6
Audi,A4,2020,128281,CNG,Automatic,Black,1,True,Kolkata,True,3.9,SUV,None,4230757.85
Audi,A6,2004,69219,Electric,Manual,Grey,1,False,Bangalore,False,1.8,SUV,Third-Party,4519617.15
Audi,Q5,2006,45811,Diesel,Automatic,Black,1,True,Bangalore,False,4.1,Convertible,None,5143128.35
Maruti Suzuki,Vitara Brezza,2018,154827,Electric,Automatic,Red,2,False,Pune,True,4.1,Sedan,Comprehensive,376775.95
Maruti Suzuki,Vitara Brezza,2000,78298,Electric,Automatic,Red,1,False,Delhi,True,3.9,Wagon,Comprehensive,50000.0
BMW,M3,2006,75113,Electric,Manual,Red,2,False,Pune,False,4.4,Convertible,None,6538733.05
Audi,Q5,2004,68353,Petrol,Automatic,Blue,3,False,Chennai,True,1.3,Convertible,Comprehensive,4889747.05
BMW,X5,2015,36138,CNG,Automatic,Black,3,False,Hyderabad,False,2.2,Coupe,Comprehensive,7494579.3
BMW,M3,2001,59843,CNG,Manual,Black,2,False,Ahmedabad,True,4.8,SUV,None,6241023.55
BMW,M3,2010,92542,Petrol,Automatic,Grey,3,True,Hyderabad,False,3.0,Coupe,Comprehensive,6756118.7
Hyundai,Verna,2005,151037,CNG,Automatic,Grey,2,False,Ahmedabad,False,1.6,Convertible,Comprehensive,50000.0
Toyota,Innova,2016,139507,Diesel,Automatic,Grey,1,True,Mumbai,False,1.2,SUV,Third-Party,1229073.95
Hyundai,Verna,2002,23019,CNG,Manual,Blue,3,True,Pune,False,2.1,Hatchback,Comprehensive,50000.0
Honda,Jazz,2021,87177,Diesel,Manual,Blue,1,True,Bangalore,False,4.4,SUV,None,636923.45
Maruti Suzuki,Swift,2016,46643,Electric,Automatic,White,2,True,Bangalore,True,3.8,Sedan,Comprehensive,163003.55
Toyota,Fortuner,2015,103223,CNG,Manual,White,3,True,Mumbai,False,4.7,Wagon,None,3054516.55
Toyota,Corolla,2018,112299,Diesel,Manual,Blue,1,True,Ahmedabad,True,4.3,SUV,Third-Party,833155.15
Nissan,Terrano,2010,88148,CNG,Automatic,Red,3,True,Hyderabad,True,4.0,Coupe,Comprehensive,506777.80000000005
Maruti Suzuki,Vitara Brezza,2016,78818,CNG,Automatic,White,1,False,Pune,False,3.4,SUV,Comprehensive,368177.3
Toyota,Innova,2011,103803,CNG,Manual,Black,3,True,Kolkata,False,4.7,Sedan,Third-Party,904429.55
Honda,Civic,2004,123425,Diesel,Manual,Silver,3,False,Mumbai,True,1.2,Wagon,Comprehensive,50000.0
Honda,Civic,2015,55415,Diesel,Automatic,Blue,2,False,Ahmedabad,False,2.9,SUV,Third-Party,191687.75
Honda,City,2003,6550,Diesel,Manual,Black,1,True,Hyderabad,True,2.5,Convertible,Comprehensive,50000.0
Toyota,Corolla,2021,31169,Petrol,Automatic,Black,1,True,Chennai,True,4.6,Wagon,Third-Party,995324.65
Tata,Harrier,2012,91101,Petrol,Manual,Grey,2,True,Bangalore,False,3.5,Hatchback,Comprehensive,1106334.85
Maruti Suzuki,Dzire,2005,21344,Petrol,Automatic,Blue,2,False,Pune,True,3.1,Hatchback,Comprehensive,50000.0
Tata,Harrier,2023,179680,Electric,Automatic,Silver,1,False,Ahmedabad,False,3.9,Wagon,Comprehensive,1603048.0
Ford,Endeavour,2003,143460,Petrol,Manual,Black,3,False,Chennai,False,4.3,Convertible,Third-Party,1878481.0
Tata,Altroz,2023,50691,Petrol,Automatic,Black,2,False,Pune,True,1.3,Convertible,Comprehensive,442396.35
BMW,X5,2014,118828,Petrol,Manual,Red,1,True,Kolkata,False,4.8,Hatchback,None,7482175.8
Mercedes,C-Class,2013,103938,Diesel,Manual,Black,2,False,Hyderabad,False,3.5,Hatchback,None,4384409.3
Tata,Harrier,2007,172858,CNG,Manual,Grey,3,False,Mumbai,True,3.3,SUV,Third-Party,774071.3
BMW,3 Series,2016,22472,CNG,Automatic,Silver,3,False,Ahmedabad,True,5.0,Convertible,Third-Party,3496629.2
Hyundai,Creta,2012,180798,Petrol,Manual,Grey,2,True,Pune,False,4.4,Wagon,Third-Party,842880.3
Honda,City,2003,153654,Diesel,Automatic,White,2,True,Pune,True,4.5,Wagon,Comprehensive,50000.0
Honda,Civic,2012,7042,Petrol,Manual,Grey,2,False,Chennai,False,3.6,Hatchback,None,50000.0
Hyundai,Verna,2005,127451,Diesel,Manual,White,1,False,Bangalore,True,3.3,Convertible,Third-Party,50000.0
Hyundai,Verna,2022,191634,CNG,Manual,White,3,False,Chennai,False,1.5,Sedan,None,721254.9
Honda,City,2011,73775,Electric,Automatic,White,3,False,Kolkata,False,1.4,Hatchback,Comprehensive,288933.75
Tata,Altroz,2003,88300,Diesel,Manual,Blue,1,True,Delhi,True,1.1,SUV,None,50000.0
Nissan,Magnite,2007,159086,Electric,Manual,White,2,False,Chennai,True,3.4,Wagon,Third-Party,50000.0
Mercedes,E-Class,2007,184603,Diesel,Automatic,Red,3,True,Kolkata,False,4.8,Wagon,Third-Party,5592309.55
BMW,X5,2017,34542,Electric,Automatic,Red,2,True,Ahmedabad,False,2.8,Sedan,None,7614818.7
Ford,EcoSport,2019,35255,CNG,Automatic,Blue,2,False,Kolkata,False,4.0,SUV,Comprehensive,494711.75
Toyota,Fortuner,2010,144049,Electric,Manual,Silver,3,True,Pune,True,3.0,SUV,Comprehensive,2698392.65
Maruti Suzuki,Vitara Brezza,2003,74891,CNG,Manual,Grey,3,False,Ahmedabad,False,5.0,Wagon,Third-Party,50000.0
Hyundai,Verna,2010,51226,Electric,Manual,White,2,True,Ahmedabad,False,1.5,Hatchback,Third-Party,162316.1
Audi,Q5,2001,155947,CNG,Manual,Silver,1,True,Chennai,True,2.1,Wagon,Third-Party,4776607.95
Audi,Q5,2005,141725,Electric,Manual,Silver,1,True,Bangalore,False,3.9,Coupe,Comprehensive,5078741.25
Nissan,Terrano,2017,186275,Diesel,Manual,Blue,1,True,Bangalore,False,4.0,Wagon,None,972058.75
Tata,Nexon,2008,168848,Electric,Manual,Grey,3,True,Kolkata,False,4.7,Convertible,Comprehensive,50000.0
Hyundai,Creta,2003,67884,CNG,Manual,Grey,1,False,Pune,False,2.1,SUV,Comprehensive,419817.4
Hyundai,Elantra,2023,53551,Petrol,Manual,Black,1,False,Hyderabad,True,2.0,Convertible,None,1171967.35
Ford,EcoSport,2004,22028,Diesel,Manual,Red,2,False,Pune,False,2.0,Coupe,None,50000.0
Nissan,Terrano,2000,153424,Electric,Manual,Blue,2,False,Ahmedabad,False,3.3,Hatchback,Third-Party,50000.0
Ford,Endeavour,2019,39073,CNG,Automatic,Black,2,True,Chennai,True,3.2,Coupe,None,2664139.05
Nissan,Kicks,2010,131810,Diesel,Manual,Blue,3,True,Mumbai,True,4.8,SUV,Third-Party,450228.5
Audi,Q5,2014,193103,Petrol,Manual,Red,2,True,Chennai,True,1.3,Sedan,None,5391034.55
Nissan,Terrano,2021,194525,Electric,Automatic,Black,1,False,Mumbai,True,1.5,Hatchback,Comprehensive,1100821.25
Ford,Fiesta,2015,127813,Petrol,Manual,Red,1,True,Kolkata,True,3.3,Coupe,Comprehensive,80828.05
Maruti Suzuki,Dzire,2011,133467,Electric,Automatic,Black,3,False,Ahmedabad,False,4.9,Hatchback,Comprehensive,50000.0
Ford,Fiesta,2016,110256,Diesel,Automatic,Black,2,False,Delhi,False,3.2,Hatchback,None,183461.6
Ford,Fiesta,2002,149532,Diesel,Automatic,Blue,3,True,Ahmedabad,True,2.8,SUV,Comprehensive,50000.0
Honda,City,2017,175232,Petrol,Automatic,Grey,2,True,Pune,False,2.3,Wagon,Third-Party,593715.2
Ford,Fiesta,2003,96145,Petrol,Automatic,Black,1,False,Chennai,True,4.2,SUV,Third-Party,50000.0
Tata,Harrier,2001,56685,Electric,Automatic,Grey,2,True,Delhi,False,1.8,Hatchback,Comprehensive,561497.25
BMW,3 Series,2002,134420,Electric,Manual,Red,1,False,Kolkata,False,4.8,Coupe,Comprehensive,2859837.0
BMW,X5,2020,194133,Petrol,Automatic,Silver,2,True,Mumbai,False,3.2,Convertible,Comprehensive,7790880.05
Nissan,Kicks,2001,195637,Petrol,Manual,Grey,2,True,Chennai,True,3.9,Wagon,None,50000.0
BMW,3 Series,2022,171257,Electric,Automatic,Blue,1,False,Delhi,True,1.2,Convertible,Third-Party,3854311.45
Nissan,Magnite,2020,21552,Diesel,Automatic,Black,1,False,Pune,False,2.1,Coupe,Comprehensive,376767.2
Ford,EcoSport,2015,132289,Electric,Automatic,White,3,True,Hyderabad,False,3.3,Sedan,None,300156.65
Mercedes,C-Class,2009,55968,Diesel,Manual,Grey,3,False,Delhi,True,3.6,SUV,None,4191604.8
Toyota,Corolla,2020,162563,CNG,Manual,Grey,1,False,Mumbai,True,1.3,Convertible,None,955615.55
Ford,Fiesta,2004,190451,Petrol,Manual,Blue,1,False,Hyderabad,False,4.0,Sedan,None,50000.0
Toyota,Corolla,2008,25387,Petrol,Manual,Grey,3,False,Chennai,False,2.3,Wagon,None,346191.95
Honda,Civic,2015,24905,Electric,Manual,Red,2,False,Pune,False,2.2,Convertible,Comprehensive,196264.25
Mercedes,C-Class,2017,165697,CNG,Manual,Black,2,False,Hyderabad,False,2.3,Convertible,Third-Party,4575145.45
Hyundai,Creta,2007,127606,Electric,Automatic,Grey,1,False,Kolkata,False,3.1,Hatchback,Third-Party,610859.1
Mercedes,C-Class,2021,168689,CNG,Automatic,Red,1,False,Bangalore,False,3.9,Convertible,Comprehensive,4854696.65
Honda,City,2021,182644,CNG,Manual,Grey,3,False,Mumbai,False,1.7,Sedan,Comprehensive,822603.4
Toyota,Fortuner,2017,64101,Electric,Manual,Silver,1,False,Bangalore,False,3.9,Hatchback,None,3170384.85
Ford,Endeavour,2013,167215,Diesel,Automatic,Silver,3,True,Pune,True,1.8,Hatchback,Third-Party,2344917.75
Mercedes,S-Class,2018,169725,CNG,Manual,Red,2,True,Bangalore,True,2.9,SUV,None,9644541.25
Toyota,Corolla,2006,198899,Diesel,Automatic,Grey,3,False,Hyderabad,False,3.3,Wagon,Comprehensive,220165.15000000002
Ford,EcoSport,2000,18696,Diesel,Manual,Black,1,False,Bangalore,True,1.7,Hatchback,Comprehensive,50000.0
Hyundai,Elantra,2001,174087,Petrol,Manual,Grey,1,True,Delhi,True,2.6,Hatchback,Third-Party,123886.95
BMW,M3,2004,20117,Petrol,Automatic,Silver,2,False,Delhi,True,3.6,Hatchback,Comprehensive,6446982.45
Tata,Altroz,2006,35670,Electric,Automatic,Silver,1,True,Kolkata,True,4.3,SUV,Comprehensive,50000.0
Honda,City,2007,78668,Petrol,Automatic,Blue,3,True,Mumbai,True,2.3,Coupe,Comprehensive,108199.79999999999
Maruti Suzuki,Dzire,2013,53125,Diesel,Manual,White,2,True,Mumbai,False,1.5,Sedan,None,112031.25
Maruti Suzuki,Swift,2011,88443,CNG,Automatic,Red,2,True,Delhi,False,3.8,Hatchback,Comprehensive,50000.0
Mercedes,C-Class,2013,155547,CNG,Automatic,Red,3,True,Kolkata,False,1.2,Coupe,Comprehensive,4396667.95
Honda,Civic,2023,33197,CNG,Manual,White,3,True,Ahmedabad,False,1.6,SUV,Third-Party,615020.45
Hyundai,Creta,2005,76236,Electric,Manual,White,3,False,Pune,False,2.0,Convertible,Third-Party,488564.6
Ford,EcoSport,2003,7993,Diesel,Manual,Grey,1,False,Ahmedabad,True,4.6,Convertible,Comprehensive,50000.0
Nissan,Kicks,2007,189260,Electric,Manual,Silver,1,True,Delhi,False,4.2,Convertible,None,371611.0
Hyundai,Elantra,2006,182601,Diesel,Automatic,Blue,2,False,Pune,False,1.1,Convertible,None,322609.85
Nissan,Kicks,2000,51096,Petrol,Automatic,Black,2,True,Chennai,False,4.4,Wagon,None,50000.0
Tata,Nexon,2012,117679,Petrol,Manual,White,2,False,Delhi,True,2.9,Convertible,None,232348.15000000002
BMW,M3,2008,83949,Diesel,Manual,Silver,3,False,Chennai,False,4.0,Convertible,None,6637407.65
Toyota,Innova,2023,196722,Diesel,Automatic,Grey,1,False,Pune,True,2.1,Hatchback,None,1450491.7
Hyundai,Verna,2005,28892,CNG,Automatic,Grey,1,False,Delhi,True,3.4,Hatchback,Third-Party,50000.0
Mercedes,E-Class,2024,42123,Petrol,Automatic,White,1,True,Ahmedabad,False,2.9,Coupe,None,6493681.55
Tata,Nexon,2012,140438,Diesel,Manual,Black,2,True,Bangalore,True,1.4,Convertible,Comprehensive,248934.3
Toyota,Fortuner,2002,8426,Electric,Manual,Grey,2,True,Chennai,False,1.0,Sedan,Comprehensive,2368736.1
Honda,Civic,2024,191687,Diesel,Automatic,Grey,1,False,Chennai,False,3.9,Sedan,None,651246.95
Tata,Nexon,2018,97258,Electric,Manual,Silver,1,False,Pune,True,2.1,Sedan,None,515411.30000000005
Audi,Q5,2007,17023,CNG,Automatic,Grey,3,True,Chennai,False,4.4,Hatchback,None,5117446.55
Hyundai,Elantra,2015,72953,Electric,Automatic,Red,1,True,Chennai,True,4.0,SUV,Comprehensive,789057.05
